,variable,value
0,2007,0.0
1,2007,0.0
2,2007,0.0
3,2007,0.0
4,2007,0.0
5,2007,0.0
6,2007,0.0
7,2007,0.0
8,2007,0.0
9,2007,0.0
10,2007,0.0
11,2007,0.0
12,2007,0.0
13,2007,0.0
14,2007,0.0
15,2007,0.0
16,2007,0.0
17,2007,0.0
18,2007,0.0
19,2007,0.0
20,2007,0.0
21,2007,0.00891201520672981
22,2007,0.003876807038952751
23,2007,0.004943788296649915
24,2007,0.00918637991409514
25,2007,0.009851207229479242
26,2007,0.07268342679137577
27,2007,0.06403873640418642
28,2007,0.13738806252696503
29,2007,0.1845519363471394
30,2007,0.2841525565110798
31,2007,0.43273408667857644
32,2007,0.5598077714283957
33,2007,0.544459401952815
34,2007,0.9444581065653491
35,2007,0.9596259723943333
36,2007,0.17021518664967858
37,2007,0.5113603290105994
38,2007,0.3546801381212578
39,2007,0.7037848876033309
40,2007,0.6371932374284364
41,2007,0.6403213355455573
42,2007,0.08346062373171265
43,2007,0.1521470729749094
44,2007,0.5785872944504871
45,2007,0.16622462410295674
46,2007,0.10269235271286269
47,2007,0.10813417106902017
48,2007,0.013782903207131028
49,2007,0.0
50,2007,0.031127860528611186
51,2007,0.0
52,2007,0.0
53,2007,0.023730704697142304
54,2007,0.20421395078803598
55,2007,0.16474785287974755
56,2007,0.13208181747958522
57,2007,0.003824055907841491
58,2007,0.0
59,2007,0.005939520185602554
60,2007,0.010109528120592128
61,2007,0.05593598759161945
62,2007,0.061867508303948326
63,2007,0.0
64,2007,0.030984373949032647
65,2007,0.0751362665453802
66,2007,0.035005755932701735
67,2007,0.0
68,2007,0.0
69,2007,0.09775614564054294
70,2007,0.07186284603796814
71,2007,0.18622012011750136
72,2007,0.4918818417221755
73,2007,0.31362063956997244
74,2007,0.27532621989039985
75,2007,0.018801639693592977
76,2007,0.009333605148067858
77,2007,0.0
78,2007,0.028006432428242353
79,2007,0.07987034402148332
80,2007,0.021748660322971784
81,2007,0.0836901762780249
82,2007,0.0
83,2007,0.0
84,2007,0.2811029325554551
85,2007,0.0
86,2007,0.0
87,2007,0.0
88,2007,0.0
89,2007,9.245242251905218e-05
90,2007,0.002949399732997014
91,2007,0.0
92,2007,0.008452136529685635
93,2007,0.0018764918932430918
94,2007,0.029707768622634
95,2007,0.11917505519078928
96,2007,0.030404674178828084
97,2007,0.12396136842292312
98,2007,0.1775181352574007
99,2007,0.09130264384865897
100,2007,0.17864300195452362
101,2007,0.0823682388427668
102,2007,0.13174012052095543
103,2007,0.14563206880905633
104,2007,0.11923020429122758
105,2007,0.03372839584890295
106,2007,0.03533296004736917
107,2007,0.14583553484681067
108,2007,0.18807175971378592
109,2007,0.16684600490407125
110,2007,0.09297444953001159
111,2007,0.10127781749450365
112,2007,0.6064693185716147
113,2007,0.6787380717913833
114,2007,0.536715270028672
